"Name","City","State","Access","Count","Latitude","Longitude","Wall","Proshop","Indoor","Lights","Surface"
"The Park at Canterbury","Orlando","FL","Private",1,28.5909561,-81.285224,"No","No","No","Yes","Hard"
"Tippit Middle School","Austin-San Marcos","TX","Public",8,30.615173,-97.7007937,"Yes","No","No","Yes","Hard"
"Lexington Park","Minneapolis-St. Paul","MN","Public",1,44.8520963,-93.1421,"No","No","No","No","Hard"
"Rogers Junior School","Minneapolis-St. Paul","MN","Public",6,45.207841,-93.544174,"No","No","No","No","Hard"
"Melrose Park","West Palm Beach - Boca Raton","FL","Private",2,26.5534934,-80.2005816,"No","No","No","No","Hard"
"Cherry Grove East","Denver","CO","Private",2,39.7179324,-104.8220158,"No","No","No","Yes","Hard"
"Juneau Playfield","Milwaukee","WI","Public",6,43.0352388,-87.99405,"No","No","No","No","Hard"
"Glenleigh","Atlanta","GA","Private",2,33.8419403,-84.5557165,"No","No","No","Yes","Hard"
"Washington Square Park","Detroit","MI","Public",2,42.5900257,-82.9785883,"No","No","No","No","Hard"
"Timber Trace","Atlanta","GA","Private",2,33.8254799,-84.1795313,"No","No","No","Yes","Hard"
"Stonehenge Condominiums","Detroit","MI","Private",1,42.4628452,-83.4361517,"No","No","No","No","Hard"
"Chase Elementary School","Baltimore","MD","Public",1,39.3430184,-76.3923383,"No","No","No","No","Hard"
"University of Memphis","Memphis","TN","Public",16,35.1138005,-89.9391782,"No","No","No","Yes","Hard"
"Watersedge","Oklahoma City","OK","Private",2,35.4435314,-97.5941491,"No","No","No","No","Hard"
"University of California - Berkeley Hellman Tennis Stadium","San Francisco - Oakland - San Jose","CA","Public",6,37.8699667,-122.2650218,"No","No","No","Yes","Hard"
"Sequoia High School","San Francisco - Oakland - San Jose","CA","Public",4,37.4834403,-122.2371697,"No","No","No","No","Hard"
"Central Park Condominiums","Fresno","CA","Private",2,36.8112775,-119.7664797,"No","No","No","Yes","Hard"
"H. Grady Spruce High School","Dallas - Fort Worth","TX","Public",2,32.709345,-96.6518462,"No","No","No","No","Hard"
"Friendswood Lakes","Houston - Galveston - Brazoria","TX","Private",2,29.491011,-95.2020264,"No","No","No","Yes","Hard"
"Clearbrook","West Palm Beach - Boca Raton","FL","Private",1,26.4520645,-80.1019835,"No","No","No","Yes","Hard"
"Lexington Park at Westchase","Tampa-St. Petersburg-Clearwater","FL","Private",1,28.0582338,-82.6248372,"No","No","No","Yes","Hard"
"Westheimer Lakes","Houston - Galveston - Brazoria","TX","Private",2,29.6892737,-95.8291483,"No","No","No","Yes","Hard"
"Rhodes Technology & Media Internal Charter School","San Antonio","TX","Public",2,29.4157689,-98.5420632,"No","No","No","No","Hard"
"Canyon Lake High School","San Antonio","TX","Public",6,29.9423009,-98.2166576,"No","No","No","No","Hard"
"Lakes At Renaissance Park","Austin-San Marcos","TX","Private",1,30.4364178,-97.6861382,"No","No","No","No","Hard"
"Campbell Park","Denver","CO","Public",4,39.9788959,-104.81404,"Yes","No","No","Yes","Hard"
"Sterling Glen Apartments","Richmond-Petersburg","VA","Private",1,37.3994486,-77.6962996,"No","No","No","Yes","Hard"
"The Durham","Minneapolis-St. Paul","MN","Private",3,44.8715416,-93.3201778,"No","No","No","Yes","Hard"
"Village At Lake Park","Atlanta","GA","Private",4,33.8889247,-84.4909358,"No","No","No","Yes","Hard"
"Butterfield Village","Memphis","TN","Private",1,35.0968253,-89.8676813,"No","No","No","Yes","Hard"
"Links at Rolling Meadows","Grand Rapids","MI","Private",2,42.752275,-86.1250019,"No","No","No","No","Hard"
"Gardner Park","Indianapolis","IN","Public",2,39.8399423,-86.048566,"No","No","No","No","Hard"
"Ralph B. Clark Regional Park","Los Angeles","CA","Public",4,33.8951766,-117.9802895,"No","No","No","Yes","Hard"
"Montanoso Recreation and Fitness Center","Los Angeles","CA","Public",2,33.5870958,-117.66366,"Yes","No","No","Yes","Hard"
"Rancho San Antonio County Park","San Francisco - Oakland - San Jose","CA","Public",4,37.3353438,-122.0912147,"Yes","No","No","No","Hard"
"Eagledale Park","Seattle","WA","Public",1,47.6098376,-122.5215483,"Yes","No","No","No","Hard"
"Miramonte High School","San Francisco - Oakland - San Jose","CA","Public",6,37.8421225,-122.1452451,"Yes","No","No","No","Hard"
"Heron Point","Fresno","CA","Private",1,36.8131672,-119.852246,"No","No","No","Yes","Clay"
"Whispertree","Houston - Galveston - Brazoria","TX","Private",1,29.8000252,-95.43632,"No","No","No","Yes","Hard"
"Lone Pine Park","West Palm Beach - Boca Raton","FL","Public",1,26.7692634,-80.1153839,"No","No","No","No","Hard"
"Royale Bermuda","Orlando","FL","Private",1,28.3101427,-81.4155042,"No","No","No","No","Hard"
"Bowie High School","Austin-San Marcos","TX","Public",8,30.1888903,-97.8585184,"Yes","No","No","No","Hard"
"Woodcreek Village","Austin-San Marcos","TX","Private",2,30.0177998,-98.1156564,"No","No","No","No","Hard"
"Camden Deerfield","Atlanta","GA","Private",1,34.1053376,-84.2668641,"No","No","No","Yes","Hard"
"Avonlea Crossing","Atlanta","GA","Private",2,34.0415029,-84.0403461,"No","No","No","Yes","Hard"
"Lake Bluff Elementary School","Milwaukee","WI","Public",2,43.0971755,-87.891891,"Yes","No","No","No","Hard"
"Champion's Run","Atlanta","GA","Private",4,34.1113071,-84.1233122,"No","No","No","Yes","Hard"
"Thelma G. Spencer Park","Detroit","MI","Public",2,42.6296015,-83.1078118,"Yes","No","No","No","Hard"
"Harbor Pointe","Atlanta","GA","Private",2,33.9723707,-84.3702257,"No","No","No","Yes","Hard"
"Hidden Lake","Atlanta","GA","Private",2,33.5681907,-84.5178437,"No","No","No","Yes","Hard"
"Harford Community College","Baltimore","MD","Public",8,39.5588618,-76.2852645,"No","No","No","Yes","Hard"
"Atfalati Park","Portland","OR","Public",2,45.3733277,-122.7455664,"Yes","No","No","No","Hard"
"Fairmoore Park","Oklahoma City","OK","Public",4,35.341761,-97.4951541,"No","No","No","No","Hard"
"Bluffs","Los Angeles","CA","Private",2,33.8846095,-117.9738522,"No","No","No","No","Hard"
"Beach Cove Apartments","San Francisco - Oakland - San Jose","CA","Private",1,37.5526582,-122.2585094,"No","No","No","Yes","Hard"
"Rock Island Park","Miami-Fort Lauderdale","FL","Public",2,26.2211072,-80.2202153,"No","No","No","No","Hard"
"Sunpointe Springs","Miami-Fort Lauderdale","FL","Private",1,26.1770462,-80.2547622,"Yes","No","No","Yes","Hard"
"Granville","Miami-Fort Lauderdale","FL","Private",1,26.219394,-80.2918625,"Yes","No","No","Yes","Hard"
"Berkner High School","Dallas - Fort Worth","TX","Public",8,32.9353789,-96.6925943,"No","No","No","No","Hard"
"The Harvest","Miami-Fort Lauderdale","FL","Private",2,26.085492,-80.2634096,"No","No","No","No","Hard"
"Cottonwood Park","Dallas - Fort Worth","TX","Public",2,32.9491278,-96.7649925,"Yes","No","No","Yes","Hard"
"Cottonwood Homeowners Association","Nashville","TN","Private",2,35.9721628,-86.9138718,"No","No","No","Yes","Hard"
"Hammond Park","Atlanta","GA","Public",4,33.9171794,-84.3622971,"Yes","No","No","Yes","Hard"
"Palm Trace Landings","Miami-Fort Lauderdale","FL","Private",1,26.0841141,-80.2281761,"No","No","No","Yes","Hard"
"Glenshire East","Houston - Galveston - Brazoria","TX","Private",2,29.6511834,-95.5392766,"Yes","No","No","Yes","Hard"
"The Isles","West Palm Beach - Boca Raton","FL","Private",4,26.8578728,-80.1009107,"No","No","No","Yes","Hard"
"Jade at Tampa Palms","Tampa-St. Petersburg-Clearwater","FL","Private",1,28.1165377,-82.3816547,"No","No","No","Yes","Hard"
"Goldenrod Park","Orlando","FL","Public",1,28.6105302,-81.2829816,"No","No","No","No","Hard"
"Riverside School","Indianapolis","IN","Public",6,39.947582,-86.06315,"Yes","No","No","No","Hard"
"Hapeville Park","Atlanta","GA","Public",2,33.6601567,-84.405148,"No","No","No","Yes","Hard"
"Mozley Park","Atlanta","GA","Public",2,33.75454,-84.4392657,"Yes","No","No","Yes","Hard"
"Central Middle School","Detroit","MI","Public",6,42.3750716,-83.4678233,"No","No","No","No","Hard"
"Berkshire At Sugarloaf","Atlanta","GA","Private",2,34.0094119,-84.0914798,"No","No","No","Yes","Hard"
"Park Pointe North","Atlanta","GA","Private",2,33.8713242,-84.2562425,"No","No","No","Yes","Hard"
"Lakeshore Park","Atlanta","GA","Public",6,33.598705,-85.0587916,"No","No","No","No","Hard"
"High View at Hunt Valley","Baltimore","MD","Private",2,39.4986017,-76.6617286,"No","No","No","Yes","Hard"
"Lofts at the Mills","Hartford","CT","Private",1,41.7681029,-72.5275218,"No","No","No","No","Hard"
"Diamond Ranch High School","Los Angeles","CA","Public",9,34.0231603,-117.7752829,"No","No","No","No","Hard"
"Grayhawk","Phoenix","AZ","Private",1,33.6735239,-111.9084442,"No","No","No","Yes","Hard"
"Rancho Mirage Mobile Home Park","Phoenix","AZ","Private",2,33.3817789,-111.517303,"No","No","No","Yes","Hard"
"Autumn Oaks","Tampa-St. Petersburg-Clearwater","FL","Private",2,28.4258543,-82.5837994,"No","No","No","Yes","Hard"
"Jonathan Hartman Park","Seattle","WA","Public",2,47.691378,-122.105881,"No","No","No","No","Hard"
"Lea Hill Park","Seattle","WA","Public",2,47.3168757,-122.1768415,"No","No","No","No","Hard"
"Fort Yargo State Park","Atlanta","GA","Public",2,33.9800578,-83.7346709,"No","No","No","No","Hard"
"Laguna Creek High School","Sacramento-Yolo","CA","Public",8,38.4303201,-121.4298356,"Yes","No","No","No","Hard"
"Boca Village","West Palm Beach - Boca Raton","FL","Private",1,26.3621786,-80.108496,"No","No","No","Yes","Hard"
"Briarcreek","Houston - Galveston - Brazoria","TX","Private",1,29.9417803,-95.4667926,"No","No","No","Yes","Hard"
"Marina Landing Resort Apartments","Houston - Galveston - Brazoria","TX","Private",2,29.2736157,-94.8466766,"No","No","No","Yes","Hard"
"Normandy Park","Tampa-St. Petersburg-Clearwater","FL","Private",1,28.0495325,-82.3945481,"No","No","No","No","Hard"
"Greens of Town N Country","Tampa-St. Petersburg-Clearwater","FL","Private",1,28.0175332,-82.5645411,"No","No","No","Yes","Hard"
"Samuel W. Wolfson High School","Jacksonville","FL","Public",6,30.2501333,-81.6173029,"No","No","No","No","Hard"
"J. Sargeant Reynolds Community College","Richmond-Petersburg","VA","Public",6,37.6304961,-77.476927,"No","No","No","Yes","Hard"
"Mound-Westonka Secondary School","Minneapolis-St. Paul","MN","Public",9,44.9560371,-93.673381,"No","No","No","No","Hard"
"Hoffman Park","Denver","CO","Public",1,39.6198794,-104.88017,"No","No","No","No","Hard"
"Kingswood Condominiums","Nashville","TN","Private",1,36.1059825,-86.7323935,"No","No","No","No","Hard"
"Coachman Trails Apartments","Minneapolis-St. Paul","MN","Private",2,44.9929312,-93.5066986,"Yes","No","No","No","Hard"
"Fordham Green Apartments","Detroit","MI","Private",1,42.3239287,-83.4668255,"No","No","No","No","Hard"
"Dozier Recreation Center","Detroit","MI","Public",4,42.2966592,-83.3271039,"Yes","No","No","No","Hard"
"Tinsley Mill","Atlanta","GA","Private",2,33.4054359,-84.5809186,"No","No","No","No","Hard"
"Lafayette Shores","Norfolk-Virginia Beach","VA","Private",2,36.88513,-76.2671328,"No","No","No","Yes","Hard"
"Stonebridge Crossing","Memphis","TN","Private",1,35.2033398,-89.7585154,"No","No","No","No","Hard"
"La Carretera Park","Los Angeles","CA","Public",1,33.8616584,-118.3149326,"No","No","No","Yes","Hard"
"Westminster High School","Los Angeles","CA","Public",8,33.7524883,-118.0106413,"No","No","No","Yes","Hard"
"Indian Springs Village","Phoenix","AZ","Private",1,33.3958968,-111.859113,"No","No","No","Yes","Hard"
"Val Vista Village","Phoenix","AZ","Private",4,33.4219857,-111.7495608,"Yes","No","No","Yes","Hard"
"Monterey Oaks Mobile Home Park","San Francisco - Oakland - San Jose","CA","Private",1,37.2400234,-121.7684162,"No","No","No","No","Hard"
"Indian Summer Village","Miami-Fort Lauderdale","FL","Private",1,25.7728322,-80.3651297,"No","No","No","Yes","Hard"
"Paul Laurence Dunbar High School","Dallas - Fort Worth","TX","Public",6,32.7196921,-97.2328985,"No","No","No","No","Hard"
"Pinebrook Pointe","Miami-Fort Lauderdale","FL","Private",1,26.2672778,-80.2286375,"No","No","No","Yes","Hard"
"Carrollton Oaks","Dallas - Fort Worth","TX","Private",1,32.9816501,-96.8781388,"No","No","No","Yes","Hard"
"Jacaranda Village at Plantation","Miami-Fort Lauderdale","FL","Private",2,26.1268231,-80.2662528,"No","No","No","Yes","Hard"
"Lowery Freshman Center","Dallas - Fort Worth","TX","Public",6,33.101006,-96.6570818,"No","No","No","Yes","Hard"
"Gessport Fondren Southwest","Houston - Galveston - Brazoria","TX","Private",2,29.641099,-95.5302268,"No","No","No","Yes","Hard"
"Camden Bayside","Tampa-St. Petersburg-Clearwater","FL","Private",2,27.878099,-82.5275588,"No","No","No","Yes","Hard"
"Thomas E. Weightman Middle School","Tampa-St. Petersburg-Clearwater","FL","Public",4,28.2566766,-82.3082399,"No","No","No","No","Hard"
"Boca Tierra Park","West Palm Beach - Boca Raton","FL","Public",2,26.3893228,-80.1397061,"No","No","No","No","Hard"
"Arbors of Austin","Austin-San Marcos","TX","Private",1,30.3701723,-97.6991415,"No","No","No","Yes","Hard"
"James River High School","Richmond-Petersburg","VA","Public",6,37.5540531,-77.648212,"Yes","No","No","No","Hard"
"Alexandria-Monroe High School","Indianapolis","IN","Public",5,40.2531463,-85.678317,"No","No","No","Yes","Hard"
"The Village Green","Milwaukee","WI","Public",3,42.7835196,-87.767779,"No","No","No","No","Hard"
"Ben Hill Strickland Park","Atlanta","GA","Public",2,33.8798488,-84.7608733,"No","No","No","Yes","Hard"
"Heritage Oaks","Atlanta","GA","Private",2,33.9513612,-84.6356571,"No","No","No","Yes","Hard"
"Sandymount Park,","Baltimore","MD","Public",2,39.5200736,-76.9163346,"No","No","No","No","Hard"
"Cowls Street Tennis Courts","Portland","OR","Public",4,45.2160267,-123.1961775,"No","No","No","Yes","Hard"
"Cumberland High School Wellness Center","Providence","RI","Public",4,41.965976,-71.4443064,"No","No","No","No","Hard"
"Jones Magnet Middle School","Norfolk-Virginia Beach","VA","Public",4,37.0462719,-76.3085675,"No","No","No","No","Hard"
"Flintridge","Los Angeles","CA","Private",1,33.5588305,-117.6393378,"No","No","No","Yes","Hard"
"Sierra Ranch","Phoenix","AZ","Private",1,33.382191,-111.6220164,"No","No","No","No","Hard"
"Omni Middle School","West Palm Beach - Boca Raton","FL","Public",4,26.4007688,-80.1466584,"No","No","No","No","Hard"
"Heron Pointe","West Palm Beach - Boca Raton","FL","Private",1,26.5274726,-80.1339018,"No","No","No","Yes","Hard"
"Laurels of Sherwood Forest","West Palm Beach - Boca Raton","FL","Private",2,26.6330068,-80.1388264,"Yes","No","No","Yes","Hard"
"Palencia","Tampa-St. Petersburg-Clearwater","FL","Private",2,28.0867,-82.4999428,"No","No","No","Yes","Hard"
"The Verandahs","Tampa-St. Petersburg-Clearwater","FL","Private",2,28.2055569,-82.5079358,"No","No","No","No","Hard"
"Woodhill","Orlando","FL","Private",1,28.5585256,-81.4845335,"No","No","No","No","Clay"
"Creekside Park","Austin-San Marcos","TX","Public",2,30.5195149,-97.7386987,"Yes","No","No","Yes","Hard"
"Westminster High School","Denver","CO","Public",4,39.82215,-105.04187,"No","No","No","No","Hard"
"Shadow Ridge Middle School","Denver","CO","Public",4,39.9211333,-104.92381,"No","No","No","No","Hard"
"Polo Run Apartments","Indianapolis","IN","Private",2,39.6297216,-86.1301303,"No","No","No","No","Hard"
"Stonegate","Atlanta","GA","Private",2,33.5872031,-84.3996441,"No","No","No","No","Hard"
"Princeton West","Atlanta","GA","Private",2,33.9873706,-84.4467974,"No","No","No","No","Hard"
"Hillside Park","Portland","OR","Public",1,45.5275167,-122.7093995,"No","No","No","No","Hard"
"Fleming Island High School","Jacksonville","FL","Public",6,30.0888226,-81.7115128,"No","No","No","No","Hard"
"Hedgerow Apartments","Memphis","TN","Private",1,35.0188207,-89.8332417,"No","No","No","No","Hard"
"University of California, Irvine - ARC Fields","Los Angeles","CA","Public",6,33.6437417,-117.8258693,"No","No","No","Yes","Hard"
"Riverglen","Sacramento-Yolo","CA","Private",1,38.6264263,-121.5101302,"No","No","No","Yes","Hard"
"Tamarac Sports Complex","Miami-Fort Lauderdale","FL","Public",4,26.2195865,-80.2852213,"No","No","No","Yes","Hard"
"Windswept Townhome","Houston - Galveston - Brazoria","TX","Private",2,29.5963111,-95.1968819,"No","No","No","Yes","Hard"
"Lakecrest","Jacksonville","FL","Private",1,30.2060822,-81.5475869,"No","No","No","Yes","Hard"
"Los Cocos","Los Angeles","CA","Private",3,33.7758388,-116.4413774,"No","No","No","Yes","Hard"
"Alder Park","Minneapolis-St. Paul","MN","Public",2,45.159508,-93.268255,"Yes","No","No","No","Hard"
"Hoover Park","Minneapolis-St. Paul","MN","Public",3,45.171615,-93.327478,"No","No","No","No","Hard"
"Swansea Park","Denver","CO","Public",1,39.7846142,-104.95572,"No","No","No","No","Hard"
"Regency Woods","Minneapolis-St. Paul","MN","Private",2,44.9625965,-93.4432375,"Yes","No","No","Yes","Hard"
"Scottsdale Villa Mirage","Phoenix","AZ","Private",2,33.647484,-111.9113624,"No","No","No","Yes","Hard"
"Whittier Middle School","Oklahoma City","OK","Public",2,35.2060486,-97.4704993,"Yes","No","No","No","Hard"
"West Los Angeles College","Los Angeles","CA","Public",4,34.0055608,-118.3883715,"Yes","No","No","No","Hard"
"Sequoia Park","Los Angeles","CA","Public",2,34.0537972,-118.1420374,"Yes","No","No","Yes","Hard"
"La Rocca","Los Angeles","CA","Private",2,33.7170668,-116.3597417,"No","No","No","No","Hard"
"Sands McCormick","Phoenix","AZ","Private",1,33.5695674,-111.8935204,"No","No","No","Yes","Hard"
"Ortega Park","San Francisco - Oakland - San Jose","CA","Public",2,37.3415111,-122.0252752,"Yes","No","No","Yes","Hard"
"Twin Creeks South","San Francisco - Oakland - San Jose","CA","Private",1,37.7613259,-121.9729829,"No","No","No","No","Hard"
"Pecos Ranch Estates","Phoenix","AZ","Private",2,33.2841087,-111.8725777,"No","No","No","Yes","Hard"
"Skyline on Brickell","Miami-Fort Lauderdale","FL","Private",1,25.7521159,-80.1984465,"No","No","No","Yes","Hard"
"Clayton Creek Apartments","San Francisco - Oakland - San Jose","CA","Private",1,37.9557372,-121.9613528,"No","No","No","Yes","Hard"
"Klein Oak High School","Houston - Galveston - Brazoria","TX","Public",6,30.0966943,-95.5207479,"Yes","No","No","No","Hard"
"Rainy Meadows","Houston - Galveston - Brazoria","TX","Private",1,29.6431598,-95.4988074,"No","No","No","Yes","Clay"
"Southern Pines","Jacksonville","FL","Private",1,30.207575,-81.5510738,"No","No","No","Yes","Hard"
"Heron Bay At Meadow Woods","Orlando","FL","Private",4,28.3572563,-81.3426661,"No","No","No","Yes","Hard"
"Broadmoor At Poinciana","Orlando","FL","Private",2,28.2430767,-81.4703715,"Yes","No","No","No","Hard"
"Westdale Parke","Austin-San Marcos","TX","Private",2,30.3574807,-97.7515411,"No","No","No","No","Hard"
"Corcoran Park","Minneapolis-St. Paul","MN","Public",1,44.9422707,-93.244603,"No","No","No","No","Hard"
"Hopkins Senior School","Minneapolis-St. Paul","MN","Public",8,44.9600229,-93.4149671,"Yes","No","No","No","Hard"
"Coon Rapids Middle School","Minneapolis-St. Paul","MN","Public",14,45.1834736,-93.32507,"Yes","No","No","Yes","Hard"
"Conifer View Park","Seattle","WA","Public",1,47.7695895,-122.2188771,"No","No","No","No","Hard"
"Elmwood Park","Milwaukee","WI","Public",2,42.691,-87.825114,"No","No","No","No","Hard"
"Park Summit","Atlanta","GA","Private",1,33.7939226,-84.2797172,"No","No","No","Yes","Hard"
"Ashborough Village","Atlanta","GA","Private",2,33.9237053,-84.4986498,"No","No","No","No","Hard"
"Lents Park","Portland","OR","Public",2,45.4855603,-122.5699782,"Yes","No","No","Yes","Hard"
"Marbeya Club","Orlando","FL","Private",1,28.639263,-81.3209885,"No","No","No","Yes","Hard"
"San Bernardino Valley College","Los Angeles","CA","Public",10,34.0869377,-117.3104239,"Yes","No","No","Yes","Hard"
"Westminster Monterey","Los Angeles","CA","Private",2,33.7405876,-117.9528987,"No","No","No","Yes","Hard"
"Piedmont","Seattle","WA","Private",1,47.6218504,-122.1373916,"No","No","No","No","Hard"
"Preserve At Blue Ravine","Sacramento-Yolo","CA","Private",1,38.6750237,-121.1409402,"No","No","No","Yes","Hard"
"Coral Gate","Miami-Fort Lauderdale","FL","Private",1,25.9396378,-80.316292,"No","No","No","No","Hard"
"North Natomas Community Park","Sacramento-Yolo","CA","Public",2,38.665642,-121.4996159,"No","No","No","Yes","Hard"
"Oak Crest Village","Sacramento-Yolo","CA","Private",1,38.7024667,-121.2594938,"No","No","No","Yes","Hard"
"Creekside","Sacramento-Yolo","CA","Private",1,38.6826036,-121.3197362,"No","No","No","Yes","Hard"
"Prestonwood Hillcrest","Dallas - Fort Worth","TX","Private",2,32.965701,-96.7886496,"No","No","No","Yes","Hard"
"Carrollwood Village II","Tampa-St. Petersburg-Clearwater","FL","Private",2,28.0738736,-82.5227201,"No","No","No","No","Hard"
"Dimmitt Community Center","Tampa-St. Petersburg-Clearwater","FL","Public",3,27.9341426,-82.8021419,"No","No","No","Yes","Hard"
"Christa McAuliffe Middle School","San Antonio","TX","Public",3,29.3313426,-98.6189809,"No","No","No","No","Hard"
"Oakwood","San Antonio","TX","Private",2,29.5965583,-98.5267746,"No","No","No","Yes","Hard"
"Burning Tree Homeowners Association","Denver","CO","Private",4,39.5944868,-105.0441349,"No","No","No","No","Hard"
"Hinton Heights Rental Homes","Minneapolis-St. Paul","MN","Private",1,44.8384648,-92.9508483,"No","No","No","Yes","Hard"
"Summer Lakes","Miami-Fort Lauderdale","FL","Private",2,26.1848064,-80.1950884,"Yes","No","No","Yes","Hard"
"Los Prados","Miami-Fort Lauderdale","FL","Private",2,26.133768,-80.2640641,"No","No","No","Yes","Hard"
"Los Prados","Miami-Fort Lauderdale","FL","Private",2,26.133768,-80.2640641,"No","No","No","Yes","Clay"
"Dulaney Towers","Baltimore","MD","Private",4,39.4107579,-76.6017008,"No","No","No","No","Hard"
"Elizabeth Park","Hartford","CT","Public",3,41.7769206,-72.7152765,"Yes","No","No","No","Hard"
"Bellevue Park","Memphis","TN","Public",6,35.1117731,-90.0200737,"No","Yes","Yes","Yes","Hard"
"Prestonwood Forest","Houston - Galveston - Brazoria","TX","Private",2,29.9867485,-95.5534172,"Yes","No","No","Yes","Hard"
"Glendale Central Park","Los Angeles","CA","Public",4,34.1431553,-118.2529092,"No","No","No","Yes","Hard"
"Sunland Village","Phoenix","AZ","Private",2,33.4026414,-111.7325664,"No","No","No","Yes","Hard"
"Black Diamond Elementary School","Seattle","WA","Public",1,47.3116312,-122.0055127,"No","No","No","No","Hard"
"Sun City Roseville","Sacramento-Yolo","CA","Private",6,38.7779664,-121.3457537,"Yes","No","No","Yes","Hard"
"Britannia","Miami-Fort Lauderdale","FL","Private",1,25.7080432,-80.377264,"No","No","No","No","Hard"
"Katy City Park","Houston - Galveston - Brazoria","TX","Public",6,29.8026576,-95.8233225,"No","No","No","Yes","Hard"
"Canal Point Park","West Palm Beach - Boca Raton","FL","Public",2,26.8658169,-80.6286192,"No","No","No","No","Hard"
"Wildwood Village","Houston - Galveston - Brazoria","TX","Private",1,29.5633883,-95.0339484,"No","No","No","No","Hard"
"Waterside Luxury Townhomes","West Palm Beach - Boca Raton","FL","Private",2,26.7316788,-80.106951,"No","No","No","Yes","Hard"
"Broken Bayou","Houston - Galveston - Brazoria","TX","Private",1,29.7774246,-95.6300104,"No","No","No","Yes","Hard"
"Tampa Palms","Tampa-St. Petersburg-Clearwater","FL","Private",3,28.100244,-82.3857826,"No","No","No","Yes","Hard"
"Windsor Club at Legacy Park","Tampa-St. Petersburg-Clearwater","FL","Private",1,27.9176957,-82.3414457,"No","No","No","Yes","Hard"
"J.S. Johnson Park","Jacksonville","FL","Public",2,30.3252583,-81.6751742,"No","No","No","No","Hard"
"Queen's Harbour Yacht and Country Club","Jacksonville","FL","Private",8,30.3238043,-81.4580333,"Yes","Yes","No","Yes","Clay"
"Lake Nona Golf & Country Club","Orlando","FL","Private",6,28.4160317,-81.2641418,"Yes","No","No","Yes","Clay"
"Logan Park","Minneapolis-St. Paul","MN","Public",2,44.999198,-93.253294,"No","No","No","No","Hard"
"Hazelnut Park","Minneapolis-St. Paul","MN","Public",1,45.0401923,-93.182607,"No","No","No","No","Hard"
"Jackson Elementary School","Denver","CO","Public",2,40.3950974,-104.70983,"No","No","No","No","Hard"
"Lansbrook Village","Tampa-St. Petersburg-Clearwater","FL","Private",2,28.1053309,-82.6893711,"No","No","No","No","Hard"
"Eastpointe","Denver","CO","Private",1,40.0137597,-105.230881,"No","No","No","No","Hard"
"Hyde Park Townhomes","Richmond-Petersburg","VA","Private",1,37.3446756,-77.4404061,"No","No","No","No","Hard"
"Water's Edge","West Palm Beach - Boca Raton","FL","Private",1,26.4705826,-80.0931966,"No","No","No","No","Hard"
"Duck Lake Pines","Detroit","MI","Public",2,42.6513607,-83.5747254,"No","No","No","No","Hard"
"East K-8","Grand Rapids","MI","Public",8,42.7782516,-86.0908735,"No","No","No","No","Hard"
"Ripper Park","Oklahoma City","OK","Public",12,35.5033651,-97.650615,"Yes","No","No","Yes","Hard"
"Sinaloa Villa","Los Angeles","CA","Private",2,34.2691336,-118.7867332,"No","No","No","Yes","Hard"
"Casa Del Vista","Los Angeles","CA","Private",1,33.890697,-117.8900707,"No","No","No","No","Hard"
"Circle G Park","Phoenix","AZ","Public",1,33.3685636,-111.7781961,"No","No","No","Yes","Hard"
"Earl R. Carmichael Park","San Francisco - Oakland - San Jose","CA","Public",2,37.3454859,-121.9921446,"No","No","No","Yes","Hard"
"Cedar-Rose Park","San Francisco - Oakland - San Jose","CA","Public",3,37.8776311,-122.2881746,"No","No","No","No","Hard"
"West Portal Playground","San Francisco - Oakland - San Jose","CA","Public",1,37.7414756,-122.465297,"No","No","No","Yes","Hard"
"Pajaro Valley High School","San Francisco - Oakland - San Jose","CA","Public",6,36.9133317,-121.7927599,"No","No","No","No","Hard"
"Lake Burien School Memorial Park","Seattle","WA","Public",2,47.4696532,-122.3557663,"No","No","No","No","Hard"
"Canyon Lakes","San Francisco - Oakland - San Jose","CA","Private",2,37.7665845,-121.9440258,"No","No","No","Yes","Hard"
"Barrington Place","Orlando","FL","Private",1,28.6195248,-81.2499368,"No","No","No","Yes","Hard"
"Chateau Village","San Diego","CA","Private",1,32.9430955,-117.2365987,"No","No","No","Yes","Hard"
"Leonard Johns Park","Dallas - Fort Worth","TX","Public",4,33.0442667,-97.0553899,"Yes","No","No","Yes","Hard"
"Serendipity","Dallas - Fort Worth","TX","Private",2,32.8683778,-96.7485237,"No","No","No","No","Hard"
"Parc Lake","Dallas - Fort Worth","TX","Private",1,33.0731399,-97.0091057,"No","No","No","No","Hard"
"Oakbrook","Houston - Galveston - Brazoria","TX","Private",4,29.5603833,-95.1182663,"No","No","No","Yes","Hard"
"Sea Oats","Tampa-St. Petersburg-Clearwater","FL","Private",1,27.8241732,-82.8286931,"No","No","No","No","Hard"
"West End Park","San Antonio","TX","Public",1,29.4426201,-98.5311627,"No","No","No","No","Hard"
"Lake Shadows","Houston - Galveston - Brazoria","TX","Private",2,29.9450528,-95.1390696,"Yes","No","No","Yes","Hard"
"Palm Club West Village I","West Palm Beach - Boca Raton","FL","Private",1,26.7316213,-80.1128948,"No","No","No","Yes","Hard"
"Mirror Lakes","West Palm Beach - Boca Raton","FL","Private",2,26.5359197,-80.1283336,"No","No","No","No","Hard"
