"Name","City","State","Access","Count","Latitude","Longitude","Wall","Proshop","Indoor","Lights","Surface"
"Eldorado K-8 Elementary School","Denver","CO","Public",2,39.9209605,-105.16206,"No","No","No","No","Hard"
"Boulder High School","Denver","CO","Public",3,40.0133345,-105.27633,"No","No","No","No","Hard"
"Deer Lick Park","Atlanta","GA","Public",5,33.7476087,-84.6847844,"Yes","No","No","Yes","Hard"
"Manchester Park","Atlanta","GA","Private",2,34.1856157,-84.1530848,"No","No","No","Yes","Hard"
"Jackson Park","Minneapolis-St. Paul","MN","Public",2,44.7617272,-93.5433805,"No","No","No","No","Hard"
"Sellwood Park","Portland","OR","Public",4,45.4664666,-122.6607549,"No","No","No","Yes","Hard"
"Kickingbird Tennis Center","Oklahoma City","OK","Public",14,35.6664315,-97.4591804,"Yes","Yes","Yes","Yes","Hard"
"Fairgrove Academy","Los Angeles","CA","Public",1,34.0404449,-117.9456246,"Yes","No","No","Yes","Hard"
"Select Apartments","Phoenix","AZ","Private",1,33.4974677,-112.1286535,"No","No","No","Yes","Hard"
"College of Alameda","San Francisco - Oakland - San Jose","CA","Public",9,37.7828922,-122.2816515,"No","No","No","Yes","Hard"
"Laguna Park","San Francisco - Oakland - San Jose","CA","Public",2,37.5895555,-122.369746,"No","No","No","No","Hard"
"Yosemite Middle School","Fresno","CA","Public",5,36.7600575,-119.7585726,"No","No","No","No","Hard"
"Rowlett High School","Dallas - Fort Worth","TX","Public",6,32.9031097,-96.5508342,"No","No","No","Yes","Hard"
"Savannah Place","West Palm Beach - Boca Raton","FL","Private",1,26.3456622,-80.1560891,"No","No","No","Yes","Hard"
"Cottages of Fall Creek","Indianapolis","IN","Private",3,39.8579194,-86.0503185,"No","No","No","Yes","Hard"
"Braewood Glen","Houston - Galveston - Brazoria","TX","Private",2,29.6956394,-95.6112993,"No","No","No","Yes","Hard"
"Fondren Lakes","Houston - Galveston - Brazoria","TX","Private",1,29.6448988,-95.5199915,"No","No","No","Yes","Hard"
"Pinewood Elementary","Baltimore","MD","Public",2,39.4448163,-76.637331,"Yes","No","No","Yes","Hard"
"The Pines of Delray","West Palm Beach - Boca Raton","FL","Private",2,26.4412721,-80.1005459,"No","No","No","No","Hard"
"Wellington Downs","West Palm Beach - Boca Raton","FL","Private",1,26.6572201,-80.2388406,"No","No","No","No","Hard"
"Clay High School","Jacksonville","FL","Public",3,29.9829106,-81.7116201,"No","No","No","No","Hard"
"Milwaukee High School of the Arts","Milwaukee","WI","Public",4,43.0447426,-87.940835,"No","No","No","No","Hard"
"Park Ridge Villas","Los Angeles","CA","Private",1,33.5735185,-117.6526093,"No","No","No","Yes","Hard"
"Three Bridges","Atlanta","GA","Private",2,34.0663742,-84.0733802,"No","No","No","Yes","Hard"
"Cathedral Hill Plaza Apartments","San Francisco - Oakland - San Jose","CA","Private",2,37.785826,-122.4261367,"No","No","No","Yes","Hard"
"Oak Grove Park","Miami-Fort Lauderdale","FL","Public",4,25.9210061,-80.1857328,"No","No","No","No","Hard"
"Charles M. Blalack Middle School","Dallas - Fort Worth","TX","Public",2,33.0027567,-96.8980193,"No","No","No","No","Hard"
"DeWitt Perry Middle School","Dallas - Fort Worth","TX","Public",1,32.9556098,-96.8974829,"No","No","No","No","Hard"
"Indian Springs Middle School","Dallas - Fort Worth","TX","Public",2,32.8945609,-97.2502792,"No","No","No","No","Hard"
"Prestonwood Hillcrest","Dallas - Fort Worth","TX","Private",2,32.9602369,-96.7882848,"No","No","No","Yes","Hard"
"Lakeway Trace","Dallas - Fort Worth","TX","Private",1,32.8515069,-96.5749204,"No","No","No","Yes","Hard"
"Amaretto","Miami-Fort Lauderdale","FL","Private",2,25.6748716,-80.3866786,"No","No","No","Yes","Hard"
"Lake Mary High School","Orlando","FL","Public",6,28.7377104,-81.3372159,"No","No","No","No","Hard"
"Tuscany Bay","Orlando","FL","Private",2,28.5163661,-81.3078296,"No","No","No","Yes","Hard"
"Kenny Park","Minneapolis-St. Paul","MN","Public",2,44.8993709,-93.296724,"Yes","No","No","No","Hard"
"Calibre Springs Apartments","Atlanta","GA","Private",2,33.9100209,-84.3740773,"No","No","No","Yes","Hard"
"Parkaire Crossing","Atlanta","GA","Private",1,33.9649944,-84.4039357,"No","No","No","Yes","Hard"
"Ward Meade Farm","Atlanta","GA","Private",3,33.9379661,-84.4560993,"Yes","No","No","No","Hard"
"Addison at Hampton","Norfolk-Virginia Beach","VA","Private",1,37.0528995,-76.3935614,"No","No","No","Yes","Hard"
"Homecoming at Eastvale","Los Angeles","CA","Private",1,33.9884114,-117.5523162,"No","No","No","Yes","Hard"
"Cypress Park","Los Angeles","CA","Public",2,33.8616584,-118.3948839,"No","No","No","Yes","Hard"
"Los Pueblos","Los Angeles","CA","Private",2,33.7968471,-116.4813423,"No","No","No","Yes","Hard"
